Customer_ID,OrderCount,FirstPurchase,LastPurchase,TotalRevenue,AvgTransactionValue,TotalTransactions,CustomerSegment,CustomerType,CustomerLifetime_Days,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12346,12,2009-12-14,2011-01-18,77556.46,2281.0723529411766,34,Loyal Customer (10+ orders),Repeat Buyer,400,325,2,5,5,255,Champions
12347,8,2010-10-31,2011-12-07,4921.53,22.169054054054055,222,Regular Buyer (6-10 orders),Repeat Buyer,402,1,5,4,5,545,Champions
12348,5,2010-09-27,2011-09-25,2019.4,39.596078431372554,51,Occasional Buyer (3-5 orders),Repeat Buyer,362,74,3,4,4,344,Champions
12349,4,2010-04-29,2011-11-21,4428.69,25.3068,175,Occasional Buyer (3-5 orders),Repeat Buyer,570,18,5,3,5,535,Loyal Customers
12350,1,2011-02-02,2011-02-02,334.4,19.670588235294115,17,One-Time Buyer,One-Time Buyer,0,309,2,1,2,212,Lost
12351,1,2010-11-29,2010-11-29,300.93,14.33,21,One-Time Buyer,One-Time Buyer,0,374,2,1,2,212,Lost
12352,10,2010-11-12,2011-11-03,2849.84,27.668349514563108,103,Regular Buyer (6-10 orders),Repeat Buyer,356,35,4,5,4,454,Champions
12353,2,2010-10-27,2011-05-19,406.76,16.948333333333334,24,Two-Time Buyer,Repeat Buyer,204,203,2,2,2,222,Lost
12354,1,2011-04-21,2011-04-21,1079.4,18.610344827586207,58,One-Time Buyer,One-Time Buyer,0,231,2,1,3,213,Lost
12355,2,2010-05-21,2011-05-09,947.61,27.074571428571428,35,Two-Time Buyer,Repeat Buyer,353,213,2,2,3,223,Lost
12356,6,2010-10-11,2011-11-17,6371.73,44.87133802816901,142,Regular Buyer (6-10 orders),Repeat Buyer,401,22,4,4,5,445,Champions
12357,3,2010-11-16,2011-11-06,18287.66,61.78263513513514,296,Occasional Buyer (3-5 orders),Repeat Buyer,355,32,4,3,5,435,Loyal Customers
12358,5,2009-12-08,2011-12-08,3887.07,50.48142857142857,77,Occasional Buyer (3-5 orders),Repeat Buyer,730,1,5,4,5,545,Champions
12359,10,2009-12-05,2011-10-13,8873.39,24.5121270718232,362,Regular Buyer (6-10 orders),Repeat Buyer,676,57,4,5,5,455,Champions
12360,8,2010-02-22,2011-10-18,4252.89,19.59857142857143,217,Regular Buyer (6-10 orders),Repeat Buyer,603,51,4,4,5,445,Champions
12361,4,2010-01-26,2011-02-25,511.25,17.629310344827587,29,Occasional Buyer (3-5 orders),Repeat Buyer,394,286,2,3,2,232,Lost
