Customer_ID,OrderCount,TotalRevenue,Recency_Days,R_Score,F_Score,M_Score,RFM_Score,RFM_Segment
12346,12,77556.46,325,2,5,5,255,Champions
12347,8,4921.53,1,5,4,5,545,Champions
12348,5,2019.4,74,3,4,4,344,Champions
12349,4,4428.69,18,5,3,5,535,Loyal Customers
12350,1,334.4,309,2,1,2,212,Lost
12351,1,300.93,374,2,1,2,212,Lost
12352,10,2849.84,35,4,5,4,454,Champions
12353,2,406.76,203,2,2,2,222,Lost
12354,1,1079.4,231,2,1,3,213,Lost
12355,2,947.61,213,2,2,3,223,Lost
12356,6,6371.73,22,4,4,5,445,Champions
12357,3,18287.66,32,4,3,5,435,Loyal Customers
12358,5,3887.07,1,5,4,5,545,Champions
12359,10,8873.39,57,4,5,5,455,Champions
12360,8,4252.89,51,4,4,5,445,Champions
12361,4,511.25,286,2,3,2,232,Lost
12362,11,5356.23,2,5,5,5,555,Champions
12363,2,552.0,109,3,2,2,322,At Risk
12364,4,1313.1,7,5,3,4,534,Loyal Customers
12365,2,641.38,290,2,2,3,223,Lost
12366,1,500.24,633,1,1,2,112,Lost
12367,1,168.9,3,5,1,1,511,Potential Loyalists
12368,1,917.6999999999999,627,1,1,3,113,Lost
12369,3,1791.15,412,1,3,4,134,Loyal Customers
12370,7,4316.56,50,4,4,5,445,Champions
12371,5,4067.38,44,4,4,5,445,Champions
12372,3,1298.04,71,3,3,4,334,Loyal Customers
12373,3,1127.65,310,2,3,3,233,Loyal Customers
12374,4,2989.2200000000003,24,4,3,5,435,Loyal Customers
12375,2,457.5,10,5,2,2,522,Potential Loyalists
12376,2,503.15,389,2,2,2,222,Lost
12377,4,3426.32,314,2,3,5,235,Loyal Customers
12378,2,5416.32,129,3,2,5,325,At Risk
12379,4,1620.22,81,3,3,4,334,Loyal Customers
12380,11,9676.300000000001,21,4,5,5,455,Champions
12381,5,1845.31,4,5,4,4,544,Champions
12383,5,1850.56,184,3,4,4,344,Champions
12384,2,585.27,28,4,2,2,422,Potential Loyalists
12385,1,1938.4,378,2,1,4,214,Lost
12386,2,401.9,337,2,2,2,222,Lost
12387,1,143.94,414,1,1,1,111,Lost
12388,8,3901.11,15,5,4,5,545,Champions
12389,3,1433.33,402,2,3,4,234,Loyal Customers
12390,1,549.84,79,3,1,2,312,At Risk
12391,6,2724.84,21,4,4,4,444,Champions
12392,1,234.75000000000003,590,1,1,1,111,Lost
12393,6,2399.4500000000003,71,3,4,4,344,Champions
12394,2,1272.48,63,3,2,4,324,At Risk
12395,15,4721.17,18,5,5,5,555,Champions
12396,1,931.43,673,1,1,3,113,Lost
12397,2,2409.9,35,4,2,4,424,Potential Loyalists
12398,1,1635.6599999999999,45,4,1,4,414,Potential Loyalists
12399,7,1962.3,118,3,4,4,344,Champions
12400,1,205.25,413,1,1,1,111,Lost
12401,1,84.3,302,2,1,1,211,Lost
12402,6,1256.9,322,2,4,4,244,Champions
12403,2,1019.36,49,4,2,3,423,Potential Loyalists
12404,1,63.24,681,1,1,1,111,Lost
12405,1,1710.39,148,3,1,4,314,At Risk
12406,5,6390.36,21,4,4,5,445,Champions
12407,5,1708.1200000000001,49,4,4,4,444,Champions
12408,8,4340.7699999999995,32,4,4,5,445,Champions
12409,7,23419.29,78,3,4,5,345,Champions
12410,3,1013.71,308,2,3,3,233,Loyal Customers
12411,1,346.9,409,2,1,2,212,Lost
12412,6,2596.93,74,3,4,4,344,Champions
12413,4,999.45,66,3,3,3,333,Loyal Customers
12414,6,952.41,216,2,4,3,243,Loyal Customers
12415,28,144458.37,23,4,5,5,455,Champions
12416,1,202.56,656,1,1,1,111,Lost
12417,20,6797.41,2,5,5,5,555,Champions
12418,4,2021.2,112,3,3,4,334,Loyal Customers
12419,2,503.01,385,2,2,2,222,Lost
12420,1,600.39,63,3,1,2,312,At Risk
12421,6,1098.6,15,5,4,3,543,Loyal Customers
12422,17,5231.8,95,3,5,5,355,Champions
12423,10,2622.39,0,5,5,4,554,Champions
12424,4,3340.03,162,3,3,5,335,Loyal Customers
12425,2,1741.41,77,3,2,4,324,At Risk
12426,2,1345.21,194,2,2,4,224,Lost
12427,3,825.8,21,4,3,3,433,Loyal Customers
12428,9,7956.46,25,4,5,5,455,Champions
12429,8,6204.41,8,5,4,5,545,Champions
12430,1,256.4,42,4,1,1,411,Potential Loyalists
12431,27,10432.22,35,4,5,5,455,Champions
12432,5,5059.32,42,4,4,5,445,Champions
12433,10,16794.14,0,5,5,5,555,Champions
12434,3,1103.43,84,3,3,3,333,Loyal Customers
12435,6,13925.93,79,3,4,5,345,Champions
12436,1,509.01,99,3,1,2,312,At Risk
12437,39,12683.4,1,5,5,5,555,Champions
12438,2,2906.85,13,5,2,4,524,Potential Loyalists
12439,2,1142.88,682,1,2,3,123,Lost
12440,2,859.2,461,1,2,3,123,Lost
12441,1,173.55,366,2,1,1,211,Lost
12442,1,172.06,2,5,1,1,511,Potential Loyalists
12443,1,485.31,731,1,1,2,112,Lost
12444,5,5005.46,20,4,4,5,445,Champions
12445,2,434.98,21,4,2,2,422,Potential Loyalists
12446,1,1002.3100000000001,57,4,1,3,413,Potential Loyalists
12447,1,476.49,242,2,1,2,212,Lost
12448,1,449.45,43,4,1,2,412,Potential Loyalists
12449,6,4835.89,21,4,4,5,445,Champions
12450,5,688.2,155,3,4,3,343,Loyal Customers
12451,8,12669.88,10,5,4,5,545,Champions
12452,2,430.57,16,5,2,2,522,Potential Loyalists
12453,1,707.09,133,3,1,3,313,At Risk
12454,5,16679.78,55,4,4,5,445,Champions
12455,10,5879.95,72,3,5,5,355,Champions
12456,3,3181.04,43,4,3,5,435,Loyal Customers
12457,8,2995.91,65,3,4,5,345,Champions
12458,4,1777.49,70,3,3,4,334,Loyal Customers
12459,1,454.36,604,1,1,2,112,Lost
12460,1,326.65,455,1,1,2,112,Lost
12461,2,826.88,93,3,2,3,323,At Risk
12462,2,1189.59,18,5,2,3,523,Potential Loyalists
12463,4,1344.78,52,4,3,4,434,Loyal Customers
12464,8,1212.05,9,5,4,3,543,Loyal Customers
12465,2,742.1899999999999,16,5,2,3,523,Potential Loyalists
12466,1,56.73,681,1,1,1,111,Lost
12467,1,132.8,422,1,1,1,111,Lost
12468,5,3670.74,187,3,4,5,345,Champions
12469,2,3070.54,522,1,2,5,125,Lost
12470,1,211.95,689,1,1,1,111,Lost
12471,79,39918.19,1,5,5,5,555,Champions
12472,19,16249.289999999999,31,4,5,5,455,Champions
12473,5,3928.0499999999997,28,4,4,5,445,Champions
12474,31,12372.75,16,5,5,5,555,Champions
12475,2,1149.64,53,4,2,3,423,Potential Loyalists
12476,23,14083.91,15,5,5,5,555,Champions
12477,9,20276.37,22,4,5,5,455,Champions
12478,1,680.99,3,5,1,3,513,Potential Loyalists
12479,1,527.2,10,5,1,2,512,Potential Loyalists
12480,7,5464.85,27,4,4,5,445,Champions
12481,15,12185.51,22,4,5,5,455,Champions
12482,29,23691.4,575,1,5,5,155,Champions
12483,19,5097.18,16,5,5,5,555,Champions
12484,12,6354.1,32,4,5,5,455,Champions
12485,1,708.1,528,1,1,3,113,Lost
12486,1,1037.28,431,1,1,3,113,Lost
12487,1,285.29999999999995,730,1,1,1,111,Lost
